Stand;Bundesland;Regierungsbezirk;Kreis;AGS;Bezeichnung;PLZ;Gemeinde;Verwaltungssitz;Straße;Abfrage Anschrift_PLZ;Ort;Fläche km2;Einwohner;Männlich;Weiblich;Je km2
31.12.2008;Schleswig-Holstein;;Flensburg, Stadt;01001000;Kreisfreie Stadt;24937;Flensburg, Stadt;Flensburg, Stadt;Rathausplatz 1;24937;Flensburg;56,74;88718;43774;44944;1564
31.12.2008;Schleswig-Holstein;;Kiel, Landeshauptstadt;01002000;Kreisfreie Stadt;24103;Kiel, Landeshauptstadt;Kiel, Landeshauptstadt;Fleethörn 9;24103;Kiel;118,65;237579;116071;121508;2002
31.12.2008;Schleswig-Holstein;;Lübeck, Hansestadt;01003000;Kreisfreie Stadt;23539;Lübeck, Hansestadt;Lübeck, Hansestadt;Dr.-Julius-Leber-Str. 46-48;23539;Lübeck;214,20;210892;100489;110403;985
31.12.2008;Schleswig-Holstein;;Neumünster, Stadt;01004000;Kreisfreie Stadt;24534;Neumünster, Stadt;Neumünster, Stadt;Großflecken 63;24534;Neumünster;71,63;77100;37705;39395;1076
31.12.2008;Schleswig-Holstein;;Dithmarschen;01051001;Kreisangehörige Gemeinde;25767;Albersdorf;Mitteldithmarschen;Hindenburgstraße 18;25704;Meldorf;17,12;3466;1679;1787;202
31.12.2008;Schleswig-Holstein;;Dithmarschen;01051002;Kreisangehörige Gemeinde;25767;Arkebek;Mitteldithmarschen;Hindenburgstraße 18;25704;Meldorf;6,92;231;112;119;33
31.12.2008;Schleswig-Holstein;;Dithmarschen;01051003;Kreisangehörige Gemeinde;25715;Averlak;Burg-Süderhastedt (in Burg/Dithm.);Holzmarkt 7;25712;Burg/Dithm.;9,07;622;309;313;69
31.12.2008;Schleswig-Holstein;;Dithmarschen;01051004;Kreisangehörige Gemeinde;25704;Bargenstedt;Mitteldithmarschen;Hindenburgstraße 18;25704;Meldorf;11,90;908;448;460;76
31.12.2008;Schleswig-Holstein;;Dithmarschen;01051005;Kreisangehörige Gemeinde;25791;Barkenholm;Hennstedt;Kirchspielsschreiber-Schmidt-Straße 1;25779;Hennstedt;5,11;176;89;87;34
31.12.2008;Schleswig-Holstein;;Dithmarschen;01051006;Kreisangehörige Gemeinde;25719;Barlt;Mitteldithmarschen;Hindenburgstraße 18;25704;Meldorf;22,88;806;421;385;35
31.12.2008;Schleswig-Holstein;;Dithmarschen;01051008;Kreisangehörige Gemeinde;25779;Bergewöhrden;Hennstedt;Kirchspielsschreiber-Schmidt-Straße 1;25779;Hennstedt;2,64;30;11;19;11
31.12.2008;Schleswig-Holstein;;Dithmarschen;01051010;Kreisangehörige Gemeinde;25712;Brickeln;Burg-Süderhastedt (in Burg/Dithm.);Holzmarkt 7;25712;Burg/Dithm.;6,07;223;119;104;37
31.12.2008;Schleswig-Holstein;;Dithmarschen;01051011;Stadt;25541;Brunsbüttel, Stadt;Brunsbüttel, Stadt;Koogstraße 61-63;25541;Brunsbüttel;65,24;13379;6611;6768;205
31.12.2008;Schleswig-Holstein;;Dithmarschen;01051012;Kreisangehörige Gemeinde;25712;Buchholz;Burg-Süderhastedt (in Burg/Dithm.);Holzmarkt 7;25712;Burg/Dithm.;14,55;1083;538;545;74
31.12.2008;Schleswig-Holstein;;Dithmarschen;01051013;Kreisangehörige Gemeinde;25761;Büsum;Büsum-Wesselburen;Kaiser-Wilhelm-Platz;25761;Büsum;8,27;4904;2265;2639;593
31.12.2008;Schleswig-Holstein;;Dithmarschen;01051014;Kreisangehörige Gemeinde;25761;Büsumer Deichhausen;Büsum-Wesselburen;Kaiser-Wilhelm-Platz;25761;Büsum;2,87;338;130;208;118
31.12.2008;Schleswig-Holstein;;Dithmarschen;01051015;Kreisangehörige Gemeinde;25767;Bunsoh;Mitteldithmarschen;Hindenburgstraße 18;25704;Meldorf;11,75;881;460;421;75
31.12.2008;Schleswig-Holstein;;Dithmarschen;01051016;Kreisangehörige Gemeinde;25712;Burg (Dithmarschen);Burg-Süderhastedt (in Burg/Dithm.);Holzmarkt 7;25712;Burg/Dithm.;11,23;4219;2022;2197;376
31.12.2008;Schleswig-Holstein;;Dithmarschen;01051017;Kreisangehörige Gemeinde;25719;Busenwurth;Mitteldithmarschen;Hindenburgstraße 18;25704;Meldorf;10,09;310;171;139;31
31.12.2008;Schleswig-Holstein;;Dithmarschen;01051019;Kreisangehörige Gemeinde;25786;Dellstedt;Hennstedt;Kirchspielsschreiber-Schmidt-Straße 1;25779;Hennstedt;21,77;797;413;384;37
31.12.2008;Schleswig-Holstein;;Dithmarschen;01051020;Kreisangehörige Gemeinde;25788;Delve;Hennstedt;Kirchspielsschreiber-Schmidt-Straße 1;25779;Hennstedt;15,84;726;366;360;46
31.12.2008;Schleswig-Holstein;;Dithmarschen;01051021;Kreisangehörige Gemeinde;25709;Diekhusen-Fahrstedt;Marne;Alter Kirchhof 4-5;25709;Marne;7,46;730;384;346;98
31.12.2008;Schleswig-Holstein;;Dithmarschen;01051022;Kreisangehörige Gemeinde;25715;Dingen;Burg-Süderhastedt (in Burg/Dithm.);Holzmarkt 7;25712;Burg/Dithm.;7,02;680;343;337;97
31.12.2008;Schleswig-Holstein;;Dithmarschen;01051023;Kreisangehörige Gemeinde;25794;Dörpling;Hennstedt;Kirchspielsschreiber-Schmidt-Straße 1;25779;Hennstedt;7,82;650;321;329;83
31.12.2008;Schleswig-Holstein;;Dithmarschen;01051024;Kreisangehörige Gemeinde;25715;Eddelak;Burg-Süderhastedt (in Burg/Dithm.);Holzmarkt 7;25712;Burg/Dithm.;9,21;1391;685;706;151
31.12.2008;Schleswig-Holstein;;Dithmarschen;01051026;Kreisangehörige Gemeinde;25721;Eggstedt;Burg-Süderhastedt (in Burg/Dithm.);Holzmarkt 7;25712;Burg/Dithm.;12,79;805;402;403;63
31.12.2008;Schleswig-Holstein;;Dithmarschen;01051027;Kreisangehörige Gemeinde;25704;Elpersbüttel;Mitteldithmarschen;Hindenburgstraße 18;25704;Meldorf;30,17;919;471;448;30
31.12.2008;Schleswig-Holstein;;Dithmarschen;01051028;Kreisangehörige Gemeinde;25704;Epenwöhrden;Mitteldithmarschen;Hindenburgstraße 18;25704;Meldorf;13,52;829;425;404;61
31.12.2008;Schleswig-Holstein;;Dithmarschen;01051030;Kreisangehörige Gemeinde;25779;Fedderingen;Hennstedt;Kirchspielsschreiber-Schmidt-Straße 1;25779;Hennstedt;9,69;286;142;144;30
31.12.2008;Schleswig-Holstein;;Dithmarschen;01051032;Kreisangehörige Gemeinde;25727;Frestedt;Burg-Süderhastedt (in Burg/Dithm.);Holzmarkt 7;25712;Burg/Dithm.;10,32;379;189;190;37
31.12.2008;Schleswig-Holstein;;Dithmarschen;01051033;Kreisangehörige Gemeinde;25764;Friedrichsgabekoog;Büsum-Wesselburen;Kaiser-Wilhelm-Platz;25761;Büsum;8,62;64;31;33;7
31.12.2008;Schleswig-Holstein;;Dithmarschen;01051034;Kreisangehörige Gemeinde;25718;Friedrichskoog;Friedrichskoog;Koogstraße 35a;25718;Friedrichskoog;53,35;2483;1236;1247;47
31.12.2008;Schleswig-Holstein;;Dithmarschen;01051034;Kreisangehörige Gemeinde;25718;Friedrichskoog;Marne;Alter Kirchhof 4-5;25709;Marne;53,35;2483;1236;1247;47
31.12.2008;Schleswig-Holstein;;Dithmarschen;01051035;Kreisangehörige Gemeinde;25782;Gaushorn;Hennstedt;Kirchspielsschreiber-Schmidt-Straße 1;25779;Hennstedt;6,45;208;108;100;32
